frame,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder
255,153.33,62.62,158.28,164.24,151.43,159.72,1.35,1.65
256,148.86,61.19,158.32,155.13,142.86,157.88,2.42,0.36
257,152.2,64.51,161.51,148.79,136.78,161.02,5.5,1.05
258,158.27,72.51,167.92,143.1,131.56,139.46,9.77,6.24
259,162.63,97.16,173.27,138.64,119.6,122.1,11.46,6.24
260,166.29,106.21,178.11,135.25,100.52,110.49,11.48,8.4
261,167.95,113.52,177.19,133.22,96.45,94.48,8.88,7.14
262,172.16,123.07,172.18,136.79,96.55,90.2,7.28,4.3
263,172.7,132.65,168.97,140.74,100.25,157.77,9.27,13.62
264,170.51,139.14,168.71,141.93,109.69,167.97,9.8,25.78
265,163.74,147.75,168.73,143.89,109.94,156.11,6.69,23.43
266,155.94,156.57,169.05,147.49,117.28,168.95,5.38,21.14
267,150.56,162.82,167.59,149.58,129.33,167.89,3.05,15.09
268,133.42,164.0,168.83,150.18,135.39,162.68,0.52,6.44
269,126.17,161.63,178.27,148.17,141.92,154.61,4.02,2.57
270,99.66,160.39,177.99,150.72,147.14,161.16,2.82,3.1
271,85.17,158.52,178.11,153.21,149.24,162.39,4.32,5.73
272,73.11,153.91,171.94,153.99,154.47,159.05,2.65,6.32
273,68.26,151.76,165.37,154.56,157.62,155.3,4.33,1.49
274,67.85,155.22,161.04,160.77,158.59,151.13,9.34,2.1
275,72.1,154.13,159.6,161.14,150.01,147.39,19.61,8.4
276,79.35,157.23,154.93,164.05,142.16,123.67,28.97,10.99
277,95.15,162.12,150.91,168.82,135.89,98.49,36.98,14.25
278,109.4,165.23,146.97,175.06,133.58,66.67,40.74,12.99
279,120.05,166.11,144.23,178.66,133.47,47.46,43.26,18.28
280,129.82,168.96,144.97,178.79,130.54,43.3,47.84,20.39
281,136.34,171.85,145.42,175.68,130.32,40.4,49.01,20.13
282,145.1,169.9,147.54,174.29,129.3,42.88,51.23,20.99
283,153.82,164.05,150.43,173.62,130.25,46.75,50.06,17.65
284,159.89,156.75,152.46,171.79,131.31,56.32,48.25,14.91
285,164.27,146.49,154.99,170.4,133.42,60.31,46.11,12.32
286,165.68,132.89,156.68,169.72,137.33,65.92,39.83,10.09
287,164.28,116.27,157.89,172.66,140.16,93.42,34.33,8.61
288,159.3,94.43,157.27,175.62,144.55,124.57,27.71,4.92
289,155.01,79.21,156.98,179.03,148.06,140.97,21.75,2.46
290,151.81,68.6,156.66,176.44,153.66,154.37,11.73,2.37
291,151.43,59.39,156.87,168.11,162.97,160.33,0.2,0.5
292,150.22,56.12,159.68,161.73,148.48,158.36,2.52,0.49
293,149.91,59.58,161.92,155.58,142.82,150.97,0.4,3.01
294,156.26,66.24,166.43,148.35,137.05,158.51,5.06,1.64
295,162.5,80.98,173.4,141.31,127.86,149.66,7.03,1.38
296,165.46,97.75,179.03,136.48,114.24,165.49,9.5,16.14
297,169.76,109.07,175.86,134.73,124.8,170.95,5.87,1.63
298,172.04,120.35,173.5,137.45,103.42,176.86,8.87,23.41
299,173.83,130.38,171.39,141.02,100.67,167.54,9.72,24.87
300,170.6,139.04,170.16,142.35,107.0,169.03,7.28,26.95
301,164.64,147.2,170.24,142.38,150.3,132.14,4.45,2.74
302,154.37,155.24,171.65,145.78,173.44,161.46,14.94,2.24
303,140.35,160.07,173.53,148.34,136.8,177.73,12.19,15.43
304,131.67,156.18,169.22,146.5,147.05,167.6,4.05,18.4
305,120.68,162.52,178.31,166.18,148.86,147.4,3.14,15.58
306,86.34,167.79,177.68,160.92,148.06,147.87,4.09,11.07
307,81.43,159.39,177.65,157.46,154.3,154.83,4.55,7.85
308,74.62,153.33,167.4,154.94,157.61,167.08,5.22,1.6
309,70.05,152.42,158.39,155.84,152.23,154.48,10.7,0.25
310,71.21,154.18,157.8,159.15,148.98,148.06,17.69,4.43
311,72.28,157.26,156.12,163.13,145.28,140.48,23.47,8.6
312,88.68,159.49,150.21,166.34,136.96,108.84,33.07,10.79
313,100.97,163.88,146.9,172.29,133.26,74.31,38.38,12.8
314,114.06,169.66,143.72,178.82,129.86,52.01,43.35,13.14
315,124.56,169.68,143.01,178.72,129.32,49.04,45.34,15.94
316,133.24,172.34,143.75,175.64,129.52,43.69,46.33,14.42
317,140.57,169.35,145.86,173.21,129.22,42.22,47.03,15.03
318,149.55,162.51,148.95,173.32,130.82,48.39,45.92,15.45
319,155.68,156.34,150.97,171.6,132.51,55.54,43.89,12.79
320,159.93,143.96,153.66,171.45,136.0,60.32,39.9,7.19
321,162.54,126.22,155.17,173.07,139.95,90.3,35.09,5.07
322,165.33,108.22,158.05,174.24,141.74,115.23,31.04,4.75
323,163.23,91.66,157.81,176.23,140.07,135.16,27.73,4.24
324,158.89,75.65,155.78,176.89,140.27,150.78,19.23,2.54
325,153.75,68.25,153.5,169.15,146.7,162.2,8.14,0.57
326,155.07,65.65,157.48,163.32,142.03,151.19,4.76,0.67
327,150.81,66.04,158.38,158.28,134.3,152.36,2.84,0.23
328,153.22,64.22,161.16,154.24,125.83,153.08,2.74,1.12
329,158.76,74.82,166.89,149.48,116.35,157.73,7.53,2.43
330,161.99,101.38,171.5,142.23,106.15,106.29,11.51,5.03
331,166.03,112.52,176.53,138.28,91.19,82.3,12.28,6.69
332,166.1,120.54,179.91,137.85,90.91,142.42,13.14,6.38
333,170.61,130.73,175.45,139.77,88.89,72.28,11.5,5.83
334,173.68,138.47,171.93,143.92,89.08,163.72,10.29,20.16
335,171.59,146.07,170.74,146.9,97.68,156.1,8.95,23.32
336,167.24,152.85,170.34,148.57,98.2,163.08,3.39,19.98
337,159.6,157.03,170.73,149.37,98.66,175.17,1.08,16.5
338,151.77,159.86,172.32,150.55,105.75,121.64,0.59,0.95
